"Timestamp","Texture Assessment:
Please rate the texture of this mango image ?","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Maturity Assessment:
Please rate the maturity of the above mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image ","Texture Assessment:
Please rate the texture of this mango image ","Healthiness Assessment:
Please rate the healthiness of the above mango image","Maturity Assessment:
Please rate the maturity of the above mango image "
"2024/05/16 1:28:03 pm GMT+5:30","Very Rough","Very Unhealthy","Over ripe","Moderately Smooth","Healthy","Over ripe","Smooth","Moderately Healthy","Ripe","Smooth","Healthy","Over ripe","Moderately Smooth","Moderately Healthy","Partially ripe","Slightly Rough","Slightly Unhealthy","Early ripe","Very Smooth","Healthy","Ripe","Very Smooth","Unripe","Healthy","Very Rough","Very Unhealthy","Over ripe","Very Rough","Very Unhealthy","Over ripe","Moderately Smooth","Moderately Healthy","Partially ripe"
"2024/05/16 1:31:18 pm GMT+5:30","Very Rough","Very Unhealthy","Over ripe","Moderately Smooth","Moderately Healthy","Early ripe","Smooth","Very Healthy","Partially ripe","Very Smooth","Very Healthy","Unripe","Slightly Rough","Very Unhealthy","Early ripe","Moderately Smooth","Slightly Unhealthy","Over ripe","Very Smooth","Very Healthy","Over ripe","Slightly Rough","Early ripe","Healthy","Slightly Rough","Very Unhealthy","Unripe","Very Rough","Very Unhealthy","Unripe","Moderately Smooth","Healthy","Partially ripe"
"2024/05/16 2:22:58 pm GMT+5:30","Very Rough","Very Unhealthy","Over ripe","Smooth","Moderately Healthy","Ripe","Smooth","Healthy","Ripe","Smooth","Healthy","Ripe","Moderately Smooth","Slightly Unhealthy","Over ripe","Slightly Rough","Slightly Unhealthy","Ripe","Smooth","Healthy","Ripe","Very Smooth","Unripe","Healthy","Slightly Rough","Very Unhealthy","Partially ripe","Very Rough","Very Unhealthy","Over ripe","Very Smooth","Healthy","Partially ripe"
"2024/05/16 3:10:55 pm GMT+5:30","Very Rough","Very Unhealthy","Unripe","Smooth","Moderately Healthy","Over ripe","Smooth","Healthy","Ripe","Smooth","Moderately Healthy","Partially ripe","Smooth","Slightly Unhealthy","Partially ripe","Slightly Rough","Slightly Unhealthy","Over ripe","Very Smooth","Healthy","Ripe","Smooth","Ripe","Healthy","Very Rough","Very Unhealthy","Over ripe","Very Rough","Very Unhealthy","Unripe","Smooth","Healthy","Partially ripe"
"2024/05/16 3:11:22 pm GMT+5:30","Slightly Rough","Very Unhealthy","Partially ripe","Smooth","Healthy","Unripe","Slightly Rough","Moderately Healthy","Ripe","Smooth","Moderately Healthy","Partially ripe","Very Rough","Very Unhealthy","Early ripe","Slightly Rough","Slightly Unhealthy","Early ripe","Very Smooth","Healthy","Unripe","Smooth","Unripe","Healthy","Very Rough","Very Unhealthy","Early ripe","Very Smooth","Slightly Unhealthy","Early ripe","Smooth","Moderately Healthy","Partially ripe"
"2024/05/16 5:42:11 pm GMT+5:30","Moderately Smooth","Slightly Unhealthy","Over ripe","Very Smooth","Healthy","Ripe","Smooth","Healthy","Ripe","Smooth","Healthy","Ripe","Moderately Smooth","Moderately Healthy","Partially ripe","Slightly Rough","Slightly Unhealthy","Early ripe","Very Smooth","Very Healthy","Partially ripe","Smooth","Unripe","Moderately Healthy","Moderately Smooth","Slightly Unhealthy","Over ripe","Slightly Rough","Moderately Healthy","Partially ripe","Smooth","Healthy","Partially ripe"
"2024/05/16 5:52:45 pm GMT+5:30","Very Rough","Very Unhealthy","Over ripe","Moderately Smooth","Moderately Healthy","Ripe","Smooth","Moderately Healthy","Partially ripe","Smooth","Moderately Healthy","Partially ripe","Moderately Smooth","Slightly Unhealthy","Early ripe","Very Rough","Very Unhealthy","Over ripe","Very Smooth","Very Healthy","Ripe","Smooth","Unripe","Healthy","Very Rough","Very Unhealthy","Over ripe","Very Rough","Very Unhealthy","Over ripe","Smooth","Moderately Healthy","Partially ripe"
"2024/05/16 5:57:22 pm GMT+5:30","Very Smooth","Very Unhealthy","Ripe","Moderately Smooth","Moderately Healthy","Partially ripe","Slightly Rough","Healthy","Early ripe","Moderately Smooth","Moderately Healthy","Partially ripe","Smooth","Healthy","Ripe","Smooth","Moderately Healthy","Unripe","Very Rough","Healthy","Unripe","Very Rough","Unripe","Very Healthy","Very Smooth","Very Unhealthy","Over ripe","Very Smooth","Very Unhealthy","Over ripe","Moderately Smooth","Very Healthy","Partially ripe"
"2024/05/16 6:50:23 pm GMT+5:30","Moderately Smooth","Moderately Healthy","Over ripe","Smooth","Healthy","Ripe","Very Smooth","Very Healthy","Ripe","Smooth","Healthy","Ripe","Slightly Rough","Slightly Unhealthy","Over ripe","Slightly Rough","Slightly Unhealthy","Over ripe","Very Smooth","Very Healthy","Ripe","Very Rough","Unripe","Healthy","Very Rough","Very Unhealthy","Over ripe","Very Rough","Very Unhealthy","Over ripe","Smooth","Healthy","Ripe"
"2024/05/16 7:39:26 pm GMT+5:30","Moderately Smooth","Very Unhealthy","Unripe","Moderately Smooth","Moderately Healthy","Partially ripe","Smooth","Healthy","Ripe","Moderately Smooth","Moderately Healthy","Partially ripe","Very Smooth","Slightly Unhealthy","Early ripe","Slightly Rough","Very Unhealthy","Unripe","Slightly Rough","Moderately Healthy","Partially ripe","Very Rough","Over ripe","Very Healthy","Very Smooth","Very Unhealthy","Unripe","Very Smooth","Very Unhealthy","Unripe","Slightly Rough","Moderately Healthy","Partially ripe"
